Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC",FL,Healthcare Provider,31189,12/22/2023,Hacking/IT Incident,Network Server,No
Clay County Social Services,MN,Business Associate,22005,12/22/2023,Hacking/IT Incident,Network Server,Yes
"Retina Group of Washington, PLLC",MD,Healthcare Provider,455935,12/22/2023,Hacking/IT Incident,Network Server,No
"AccessDx Laboratory, LLC",TX,Healthcare Provider,535,12/21/2023,Hacking/IT Incident,Email,No
"360 Physical Therapy, LLC",ND,Healthcare Provider,520,12/21/2023,Theft,Paper/Films,Yes
Rush System for Health,IL,Healthcare Provider,4961,12/21/2023,Unauthorized Access/Disclosure,Email,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1665,12/19/2023,Hacking/IT Incident,Network Server,Yes
BELLIN HEALTH,WI,Healthcare Provider,20790,12/19/2023,Hacking/IT Incident,Network Server,No
ZOLL Medical Corporation,MA,Health Plan,8898,12/18/2023,Hacking/IT Incident,Email,No
"Primary Health & Wellness Center, LLC",MD,Healthcare Provider,4792,12/17/2023,Hacking/IT Incident,Network Server,No
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers",IL,Healthcare Provider,6351,12/16/2023,Hacking/IT Incident,Email,No
"AccessOne Medcard, Inc.",SC,Business Associate,8049,12/15/2023,Hacking/IT Incident,Network Server,Yes
"Discount Emporium, Inc. d/b/a Drug Emporium",WV,Healthcare Provider,2500,12/14/2023,Hacking/IT Incident,Other,Yes
"Independent Vision Group, LTD",WI,Healthcare Provider,2931,12/13/2023,Hacking/IT Incident,Email,No
City of Hope,CA,Healthcare Provider,501,12/12/2023,Hacking/IT Incident,Network Server,No
"Health Diagnostic Management, LLC",NY,Business Associate,1863,12/12/2023,Hacking/IT Incident,Network Server,Yes
"Cardiothoracic and Vascular Surgeons, P.A.",TX,Healthcare Provider,500,12/12/2023,Hacking/IT Incident,Network Server,No
Heart of Texas Behavioral Health Network,TX,Healthcare Provider,63776,12/12/2023,Hacking/IT Incident,Network Server,No
"Yorkshire Wellness Group, Corp.",NM,Healthcare Provider,1000,12/12/2023,Unauthorized Access/Disclosure,Paper/Films,No
Keenan & Associates,CA,Health Plan,4631,12/11/2023,Hacking/IT Incident,Network Server,No
"New Partners, Inc. d/b/a VNS Health Personal Care",NY,Healthcare Provider,5175,12/08/2023,Hacking/IT Incident,Email,No
VNS CHOICE d/b/a VNS Health Health Plans,NY,Health Plan,13584,12/08/2023,Hacking/IT Incident,Email,No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,4264,12/08/2023,Hacking/IT Incident,Email,No
Mercy Medical Center,IA,Healthcare Provider,97132,12/08/2023,Hacking/IT Incident,Network Server,Yes
City of Homer,AK,Healthcare Provider,1412,12/07/2023,Loss,Other Portable Electronic Device,No
Wichita Urology Group,KS,Healthcare Provider,5314,12/07/2023,Hacking/IT Incident,Network Server,Yes
Prime Healthcare,CA,Healthcare Provider,7185,12/06/2023,Hacking/IT Incident,Network Server,Yes
Akumin Operating Corp.,FL,Healthcare Provider,501,12/06/2023,Hacking/IT Incident,Network Server,No
Hi-School Pharmacy,WA,Healthcare Provider,12779,12/05/2023,Hacking/IT Incident,Network Server,No
"Pan-American Life Insurance Group, Inc.",LA,Business Associate,94807,12/04/2023,Hacking/IT Incident,Network Server,Yes
Leggett & Platt Incorporated Employee Benefit Fund,MO,Health Plan,1200,12/04/2023,Hacking/IT Incident,Network Server,Yes
Neurosurgical Associates of New Jersey,NJ,Healthcare Provider,500,12/04/2023,Unauthorized Access/Disclosure,Network Server,No
4 Over LLC Group Health Plan,CA,Health Plan,6491,12/04/2023,Hacking/IT Incident,Network Server,No
"Pan-American Life Insurance Group, Inc.",LA,Health Plan,105387,12/04/2023,Hacking/IT Incident,Network Server,No
KY Cabinet for Health and Family Services (CHFS),KY,Healthcare Provider,2062,12/03/2023,Hacking/IT Incident,Network Server,Yes
Strategic Management LLC,MS,Business Associate,648,12/03/2023,Hacking/IT Incident,Email,Yes
EMS Management and Consultants Inc.,NC,Business Associate,2654,12/01/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Cardiovascular Consultants Ltd.,AZ,Healthcare Provider,484000,12/01/2023,Hacking/IT Incident,Network Server,No
The Children’s Home of Wyoming Conference,NY,Healthcare Provider,1111,12/01/2023,Hacking/IT Incident,Network Server,No
"Neuromusculoskeletal Center of the Cascades, PC",OR,Healthcare Provider,22328,12/01/2023,Hacking/IT Incident,Email,No
"Community Healthcare Network, Inc.",NY,Healthcare Provider,500,11/30/2023,Hacking/IT Incident,Network Server,No
"F&E Aviation Holdings, Inc.",FL,Health Plan,3097,11/30/2023,Hacking/IT Incident,Network Server,No
West Anaheim Medical Center,CA,Healthcare Provider,1166,11/29/2023,Hacking/IT Incident,Network Server,Yes
Chesapeake Regional Healthcare,VA,Healthcare Provider,31679,11/29/2023,Hacking/IT Incident,Network Server,Yes
"Fenway Community Health Center, Inc.",MA,Healthcare Provider,599,11/29/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Columbia County Child Abuse Assessment Center dba The Amani Center,OR,Healthcare Provider,2374,11/28/2023,Hacking/IT Incident,Email,No
"Lakeview Healthcare System, LLC",FL,Healthcare Provider,2495,11/27/2023,Theft,Paper/Films,No
"Foursquare Healthcare, Ltd.",TX,Healthcare Provider,10890,11/27/2023,Hacking/IT Incident,Network Server,No
Inline Plastics Corp.,CT,Health Plan,4853,11/27/2023,Hacking/IT Incident,Network Server,No
"Equality Health, LLC",AZ,Healthcare Provider,9240,11/27/2023,Hacking/IT Incident,Email,No
Oak Street Health,IL,Healthcare Provider,3238,11/24/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
"Montrose Behavioral Health Hospital, Inc.",IL,Healthcare Provider,597,11/24/2023,Hacking/IT Incident,Email,No
Morrison Community Hospital District,IL,Healthcare Provider,122488,11/23/2023,Hacking/IT Incident,Network Server,No
"Molina Healthcare of Iowa, Inc.",IA,Business Associate,1647,11/22/2023,Hacking/IT Incident,Email,Yes
"Saisystems International, Inc.",CT,Business Associate,10063,11/22/2023,Hacking/IT Incident,Network Server,Yes
"Sierra County (Department of Public Health, Department of Behavioral Health)",CA,Healthcare Provider,2463,11/22/2023,Hacking/IT Incident,Email,No
"East River Medical Imaging, PC",NY,Healthcare Provider,605809,11/22/2023,Hacking/IT Incident,Network Server,No
The Charles Lea Center,SC,Healthcare Provider,1250,11/22/2023,Hacking/IT Incident,Network Server,No
Northwest Eye Care Professionals,OR,Healthcare Provider,950,11/22/2023,Hacking/IT Incident,Network Server,No
"U.S. Drug Mart, Inc.",TX,Healthcare Provider,13016,11/21/2023,Hacking/IT Incident,"Network Server, Other",Yes
