"","entity","state","type","affected","date","incident","location","business_associate"
"1","Valley Oaks Health","IN","Healthcare Provider",50034,"03/18/2024","Hacking/IT Incident","Network Server","No"
"2","Weirton Medical Center","WV","Healthcare Provider",26793,"03/18/2024","Hacking/IT Incident","Network Server","No"
"3","Philips Respironics","PA","Business Associate",1125,"03/15/2024","Hacking/IT Incident","Network Server","Yes"
"4","California Correctional Health Care Services","CA","Healthcare Provider",1348,"03/14/2024","Unauthorized Access/Disclosure","Email","No"
"5","Plymouth Tube Company Employee Benefit Plan","IL","Health Plan",2652,"03/13/2024","Hacking/IT Incident","Network Server","No"
"6","A5 PHARMACY INC.","NY","Healthcare Provider",3000,"03/13/2024","Hacking/IT Incident","Network Server","No"
"7","Lindsay Municipal Hospital","OK","Healthcare Provider",500,"03/13/2024","Hacking/IT Incident","Email","No"
"8","Healthfirst (consisting of those plans under Healthfirst PHSP, Inc., Healthfirst Health Plan, Inc., and Healthfirst Insurance Company, Inc.","NY","Health Plan",6836,"03/13/2024","Unauthorized Access/Disclosure","Other","No"
"9","CCM Health","MN","Healthcare Provider",28760,"03/12/2024","Hacking/IT Incident","Network Server","No"
"10","R1 RCM Inc.","IL","Business Associate",16121,"03/11/2024","Hacking/IT Incident","Network Server","Yes"
"11","Massachusetts Department of Developmental Services","MA","Healthcare Provider",500,"03/11/2024","Improper Disposal","Paper/Films","No"
"12","UC San Diego Health Hillcrest- Hillcrest Medical Center","CA","Healthcare Provider",1642,"03/08/2024","Hacking/IT Incident","Email","No"
"13","Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider",1433,"03/08/2024","Hacking/IT Incident","Email","No"
"14","Jewish Home Lifecare, Inc.","NY","Healthcare Provider",501,"03/08/2024","Hacking/IT Incident","Network Server","No"
"15","Dental Group of Amarillo","TX","Healthcare Provider",3821,"03/06/2024","Hacking/IT Incident","Network Server","No"
"16","Orthopedic Associates of Flower Mound PLLC","TX","Healthcare Provider",1759,"03/06/2024","Hacking/IT Incident","Email","No"
"17","Seaglass Chiropractic","NJ","Healthcare Provider",650,"03/06/2024","Theft","Laptop","No"
"18","University of Wisconsin Hospitals and Clinics Authority","WI","Healthcare Provider",85902,"03/05/2024","Hacking/IT Incident","Email","No"
"19","BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan",1251,"03/05/2024","Hacking/IT Incident","Network Server","No"
"20","Orlando VA Medical Center","FL","Healthcare Provider",10059,"03/05/2024","Unauthorized Access/Disclosure","Email","No"
"21","Philips Respironics","PA","Business Associate",457152,"03/04/2024","Hacking/IT Incident","Network Server","Yes"
"22","Bay Surgical Specialists, LLC","FL","Healthcare Provider",1505,"03/04/2024","Hacking/IT Incident","Network Server","Yes"
"23","Lake of the Woods County Social Services","MN","Healthcare Provider",537,"03/04/2024","Hacking/IT Incident","Network Server","No"
"24","Yakima Valley Radiology, PC","WA","Healthcare Provider",235249,"03/01/2024","Hacking/IT Incident","Network Server","No"
"25","DGA-Producer Pension & Health Plans","CA","Health Plan",4211,"02/29/2024","Hacking/IT Incident","Network Server","Yes"
"26","Highland Health Systems","AL","Healthcare Provider",500,"02/29/2024","Hacking/IT Incident","Network Server","No"
"27","Kirkland & Ellis LLP","IL","Business Associate",48802,"02/29/2024","Hacking/IT Incident","Network Server","Yes"
"28","Eastern Radiologists, Inc","NC","Healthcare Provider",886746,"02/29/2024","Hacking/IT Incident","Network Server","No"
"29","Ada Technologies, Inc.","OH","Health Plan",2398,"02/29/2024","Hacking/IT Incident","Network Server","No"
"30","kmj Health Solutions","MI","Business Associate",2191,"02/28/2024","Hacking/IT Incident","Network Server","Yes"
"31","Littleton Regional Healthcare","NH","Healthcare Provider",12614,"02/28/2024","Unauthorized Access/Disclosure","Email","No"
"32","Oakland Community Health Network","MI","Health Plan",607,"02/28/2024","Unauthorized Access/Disclosure","Email","No"
"33","Ohio Neurologic Institute","OH","Healthcare Provider",5548,"02/28/2024","Theft","Laptop","No"
"34","Northeast Orthopedics and Sports Medicine, PLLC","NY","Healthcare Provider",177101,"02/27/2024","Hacking/IT Incident","Network Server","No"
"35","Community Health Group Partnership Plan","CA","Health Plan",708,"02/27/2024","Hacking/IT Incident","Network Server","Yes"
"36","Ascend Healthcare Management LLC","AZ","Healthcare Provider",791,"02/26/2024","Hacking/IT Incident","Other","No"
"37","Bay Area Anesthesia, LLC","FL","Healthcare Provider",15196,"02/26/2024","Hacking/IT Incident","Network Server","Yes"
"38","Scurry County Hospital District dba Cogdell Memorial Hospital","TX","Healthcare Provider",86981,"02/24/2024","Hacking/IT Incident","Network Server","No"
"39","MedQ, Inc.","TX","Business Associate",54725,"02/23/2024","Hacking/IT Incident","Other","Yes"
"40","Bold Quail Holdings, LLC (NewGen Administrative Services, LLC)","CA","Healthcare Provider",105425,"02/23/2024","Hacking/IT Incident","Network Server","Yes"
"41","UNITE HERE","NY","Business Associate",791273,"02/23/2024","Hacking/IT Incident","Network Server","Yes"
"42","Santa Clarita Community College District","CA","Health Plan",2324,"02/23/2024","Hacking/IT Incident","Network Server","Yes"
"43","CVS Caremark Part D Services, L.L.C. (“CVS”)","RI","Business Associate",11193,"02/23/2024","Unauthorized Access/Disclosure","Paper/Films","Yes"
"44","Prague Regional Memorial Hospital","OK","Healthcare Provider",1347,"02/22/2024","Hacking/IT Incident","Email","No"
"45","Washington County Hospital and Nursing Home","AL","Healthcare Provider",29346,"02/22/2024","Hacking/IT Incident","Network Server","No"
"46","Maryville, Inc.","NJ","Healthcare Provider",15503,"02/21/2024","Hacking/IT Incident","Email","No"
"47","interventional Pain and Regenerative Medicine","TX","Healthcare Provider",2843,"02/21/2024","Unauthorized Access/Disclosure","Paper/Films","No"
"48","East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity","NC","Healthcare Provider",19085,"02/20/2024","Unauthorized Access/Disclosure","Network Server","No"
"49","Egyptian Health Department","IL","Healthcare Provider",1e+05,"02/20/2024","Hacking/IT Incident","Network Server","No"
"50","McKenzie County Healthcare System, Inc.","ND","Healthcare Provider",21000,"02/16/2024","Unauthorized Access/Disclosure","Email","No"
"51","Human Affairs International of California","CA","Business Associate",18347,"02/16/2024","Unauthorized Access/Disclosure","Paper/Films","Yes"
"52","Hospice of Huntington","WV","Healthcare Provider",9013,"02/16/2024","Hacking/IT Incident","Network Server","No"
"53","Dedicated Physicians Group of Texas, PLLC d/b/a Dedicated Senior Medical Center","FL","Healthcare Provider",3441,"02/16/2024","Theft","Other","No"
"54","CareFirst BlueCross BlueShield Community Health Plan – District of Columbia","DC","Business Associate",2189,"02/16/2024","Unauthorized Access/Disclosure","Network Server","Yes"
"55","Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider",1000,"02/16/2024","Hacking/IT Incident","Network Server","No"
"56","CVS Pharmacy, Inc.","RI","Healthcare Provider",1896,"02/16/2024","Unauthorized Access/Disclosure","Network Server","No"
"57","Dignity Health Welfare Benefits Plan","CO","Health Plan",744,"02/15/2024","Unauthorized Access/Disclosure","Paper/Films","No"
"58","Employee Benefits Corporation of America and Benefit Design Group, Inc.","VA","Health Plan",38912,"02/15/2024","Hacking/IT Incident","Network Server","No"
"59","Qualcomm Incorporated","CA","Health Plan",27038,"02/15/2024","Hacking/IT Incident","Network Server","Yes"
"60","Amin Radiology d/b/a Citrus Diagnostic Center","FL","Healthcare Provider",1273,"02/15/2024","Hacking/IT Incident","Network Server","No"
"61","BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan",790,"02/15/2024","Hacking/IT Incident","Network Server","No"
"62","Lena Pope Home Inc.","TX","Healthcare Provider",3954,"02/15/2024","Hacking/IT Incident","Email","No"
"63","Insurance ACE/Humana Inc.","KY","Health Plan",3480,"02/14/2024","Unauthorized Access/Disclosure","Paper/Films","Yes"
"64","North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider",1096,"02/14/2024","Hacking/IT Incident","Network Server","No"
"65","City of Dubuque Fire Department","IA","Healthcare Provider",1381,"02/14/2024","Unauthorized Access/Disclosure","Network Server","Yes"
"66","Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider",755,"02/14/2024","Hacking/IT Incident","Email","No"
"67","Lexington Health, Inc.","SC","Healthcare Provider",1994,"02/12/2024","Hacking/IT Incident","Email","No"
"68","Erie Indemnity Company Group Dental Assistance Plan","PA","Health Plan",3122,"02/12/2024","Hacking/IT Incident","Network Server","Yes"
"69","AGC Flat Glass North America, Inc. Welfare Benefits Plan","GA","Health Plan",13079,"02/12/2024","Hacking/IT Incident","Network Server","No"
"70","Coleman Professional Services Inc.","OH","Healthcare Provider",51889,"02/12/2024","Hacking/IT Incident","Email","No"
"71","Tiegerman","NY","Healthcare Provider",19000,"02/12/2024","Hacking/IT Incident","Network Server","No"
"72","Prime Healthcare Employee Health Plan","CA","Health Plan",101135,"02/09/2024","Hacking/IT Incident","Network Server","Yes"
