entity,state,type,affected,date,incident,location,business_associate
ARx Patient Solutions,KS,Healthcare Provider,41166,6/30/23,Unauthorized Access/Disclosure,Email,No
Health First Health Plans,FL,Health Plan,701,6/30/23,Unauthorized Access/Disclosure,Paper/Films,No
Recovery Centers of America,PA,Healthcare Provider,2220,6/30/23,Hacking/IT Incident,Network Server,No
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,24180,6/30/23,Hacking/IT Incident,Network Server,No
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,6/30/23,Hacking/IT Incident,Email,No
"Advanced Medical Management, LLC",MD,Business Associate,319485,6/29/23,Hacking/IT Incident,Network Server,Yes
Partnership Health Center,MT,Healthcare Provider,8331,6/29/23,Unauthorized Access/Disclosure,Email,No
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,6/27/23,Hacking/IT Incident,Network Server,Yes
Itasca County Health & Human Services,MN,Healthcare Provider,1413,6/27/23,Hacking/IT Incident,Email,No
"Tidewater Diagnostic Imaging, Ltd.",MA,Healthcare Provider,40195,6/26/23,Hacking/IT Incident,Network Server,No
UPMC�,PA,Healthcare Provider,1533,6/26/23,Hacking/IT Incident,Network Server,Yes
Activate Healthcare LLC,IL,Healthcare Provider,93761,6/23/23,Hacking/IT Incident,Network Server,No
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA",PA,Healthcare Provider,500,6/23/23,Hacking/IT Incident,Network Server,No
The Williamsport Home,PA,Healthcare Provider,500,6/23/23,Hacking/IT Incident,Network Server,No
The MetroHealth System,OH,Healthcare Provider,1230,6/23/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
Desert Physicians Management,CA,Business Associate,56556,6/22/23,Hacking/IT Incident,Network Server,Yes
"GlobalHealth Holdings, LLC",OK,Health Plan,622,6/22/23,Hacking/IT Incident,Network Server,Yes
"Vitra Home Care, LLC",MA,Business Associate,658,6/22/23,Hacking/IT Incident,Email,Yes
Limbach Facility Services LLC Group Benefit Plan,PA,Health Plan,1392,6/22/23,Hacking/IT Incident,Network Server,No
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,6/21/23,Hacking/IT Incident,Network Server,No
City of San Luis,AZ,Healthcare Provider,6848,6/20/23,Hacking/IT Incident,Email,No
Community Research Foundation,CA,Healthcare Provider,30236,6/20/23,Hacking/IT Incident,Network Server,No
Quatela Center for Plastic Surgery,NY,Healthcare Provider,1085,6/20/23,Unauthorized Access/Disclosure,Email,No
"Kannact, Inc.",OR,Business Associate,103547,6/20/23,Hacking/IT Incident,Network Server,Yes
VINCERA IMAGING LLC,PA,Healthcare Provider,5000,6/20/23,Hacking/IT Incident,Network Server,No
VINCERA REHAB LLC,PA,Healthcare Provider,5000,6/20/23,Hacking/IT Incident,Network Server,No
VINCERA SURGERY CENTER,PA,Healthcare Provider,5000,6/20/23,Hacking/IT Incident,Network Server,No
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS",PA,,10000,6/20/23,Hacking/IT Incident,Network Server,No
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,6/19/23,Hacking/IT Incident,Network Server,No
Atrium Health Wake Forest Baptist�,NC,Healthcare Provider,3679,6/16/23,Hacking/IT Incident,Email,No
"Core Recovery, LLC",AZ,Healthcare Provider,2656,6/16/23,Hacking/IT Incident,Email,No
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,6/16/23,Hacking/IT Incident,Network Server,No
Humana Inc.,KY,Health Plan,9372,6/15/23,Unauthorized Access/Disclosure,Paper/Films,No
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,6/15/23,Hacking/IT Incident,Network Server,No
Great Valley Cardiology,PA,Healthcare Provider,181764,6/12/23,Hacking/IT Incident,Network Server,No
Idaho Department of Health & Welfare,ID,Health Plan,2501,6/12/23,Unauthorized Access/Disclosure,Network Server,Yes
"Atlanta Women's Health Group, P.C.",GA,Healthcare Provider,33839,6/11/23,Hacking/IT Incident,Network Server,No
"HC3, Inc",AL,Business Associate,1105,6/11/23,Unauthorized Access/Disclosure,Paper/Films,Yes
Valley Obstetrics & Gynecology PC,UT,Healthcare Provider,500,6/9/23,Hacking/IT Incident,Network Server,No
Uponor North America,MN,Health Plan,1048,6/8/23,Hacking/IT Incident,Network Server,No
"Intellihartx, LLC",TN,Business Associate,489830,6/8/23,Hacking/IT Incident,Network Server,Yes
"Marshall & Melhorn, LLC",OH,Business Associate,9412,6/7/23,Hacking/IT Incident,Network Server,Yes
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",UT,Health Plan,5800,6/6/23,Unauthorized Access/Disclosure,Paper/Films,Yes
Henry Ford Health,MI,Healthcare Provider,168215,6/6/23,Hacking/IT Incident,Email,No
Ascension Providence,TX,Healthcare Provider,1415,6/6/23,Hacking/IT Incident,Network Server,Yes
Ascension Seton,TX,Healthcare Provider,17191,6/6/23,Hacking/IT Incident,Network Server,Yes
Southeast Nursing and Rehab Center,TX,Healthcare Provider,600,6/6/23,Improper Disposal,"Other, Paper/Films",No
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,6/5/23,Hacking/IT Incident,Network Server,No
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,6/4/23,Hacking/IT Incident,Network Server,No
"John N. Evans, DPM",MI,Healthcare Provider,15585,6/3/23,Hacking/IT Incident,Network Server,No
Unified Operations Virginia LP,FL,Business Associate,501,6/2/23,Hacking/IT Incident,Network Server,Yes
"Mississippi Children�s Home Society, CARES Center, Inc., Mississippi Children�s Home Services, Inc., d.b.a. Canopy Children�s Solutions",MS,Healthcare Provider,501,6/2/23,Hacking/IT Incident,Network Server,No
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,6/2/23,Hacking/IT Incident,Network Server,No
"T. Rowe Price Group, Inc.",MD,Health Plan,684,6/2/23,Hacking/IT Incident,Network Server,Yes
MUSC Health Lancaster Medical Center,SC,Healthcare Provider,1802,6/2/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
Elgon Information Systems,MA,Business Associate,31248,6/2/23,Hacking/IT Incident,Network Server,Yes
EpiSource,MN,Business Associate,1206,6/2/23,Hacking/IT Incident,Network Server,Yes
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,6/2/23,Hacking/IT Incident,Network Server,No
Petaluma Health Center,CA,Healthcare Provider,124862,6/2/23,Hacking/IT Incident,Network Server,No
Maimonides Medical Center,NY,Healthcare Provider,33000,6/1/23,Hacking/IT Incident,Network Server,No
Pain Relief Centers PA,NC,Healthcare Provider,7000,6/1/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
"iSpace, Inc.",CA,Business Associate,24382,5/31/23,Hacking/IT Incident,Network Server,Yes
Builders FirstSource Flex Plan,TX,Health Plan,3690,5/30/23,Hacking/IT Incident,Network Server,No
Iowa Department of Health and Human Services - Iowa Medicaid (Iowa HHS-IM),IA,Health Plan,233834,5/30/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,996,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1389,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1191,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1518,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,524,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,507,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,983,5/26/23,Hacking/IT Incident,Network Server,Yes
"Brightline, Inc.",CA,Business Associate,8432,5/26/23,Hacking/IT Incident,Network Server,Yes
Onix Group,PA,Business Associate,319500,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,803,5/26/23,Hacking/IT Incident,Network Server,Yes
North Shore Medical Labs,NY,Healthcare Provider,500,5/26/23,Hacking/IT Incident,Network Server,No
"Alvaria, Inc.",MA,Business Associate,1147,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,537,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,796,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,1097,5/26/23,Hacking/IT Incident,Network Server,Yes
"Alvaria, Inc.",MA,Business Associate,916,5/26/23,Hacking/IT Incident,Network Server,Yes
Sparta Community Hospital District,IL,Healthcare Provider,900,5/26/23,Hacking/IT Incident,Email,No
Managed Care of North America (MCNA),GA,Business Associate,8861076,5/26/23,Hacking/IT Incident,Network Server,Yes
Iowa Department of Health and Human Services,IA,Health Plan,833,5/26/23,Unauthorized Access/Disclosure,Paper/Films,Yes
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,5/26/23,Hacking/IT Incident,Email,No
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,5/26/23,Hacking/IT Incident,Network Server,No
Lancaster Orthopedic Group,PA,Healthcare Provider,500,5/26/23,Hacking/IT Incident,Network Server,No
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,5/25/23,Hacking/IT Incident,Network Server,No
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,5/25/23,Hacking/IT Incident,Network Server,No
Asian Health Services,CA,Healthcare Provider,6270,5/25/23,Hacking/IT Incident,Email,No
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,5/24/23,Hacking/IT Incident,Email,No
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,5/24/23,Hacking/IT Incident,Network Server,No
Harvard Pilgrim Health Care,MA,Health Plan,2550922,5/24/23,Hacking/IT Incident,Network Server,No
"MedInform, Inc.",OH,Business Associate,14453,5/24/23,Hacking/IT Incident,Network Server,Yes
